,align,no_align,time,distance,n_proj,n_epochs,seed,subject,target_subject,multifreq,reg,dataset,resample,epoch_tmin,epoch_tmax,cov_fs,cov_time_window,cross_subject,lr
0,1.0,1.0,0.0,spdsw,500,500,2473,1,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
1,0.93,0.5,7.937165975570679,spdsw,500,500,2473,1,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
2,0.795,0.505,2.475782871246338,spdsw,500,500,2473,1,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
3,0.82,0.5,2.4783356189727783,spdsw,500,500,2473,1,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
4,0.71,0.5,2.53537654876709,spdsw,500,500,2473,1,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
5,0.53,0.515,2.5397896766662598,spdsw,500,500,2473,1,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
6,0.59,0.5,2.6001827716827393,spdsw,500,500,2473,1,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
7,0.565,0.5,2.5883662700653076,spdsw,500,500,2473,1,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
8,0.615,0.5,2.522545576095581,spdsw,500,500,2473,1,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
9,0.645,0.5,2.5138704776763916,spdsw,500,500,2473,1,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
10,0.51,0.5,2.5951504707336426,spdsw,500,500,2473,1,11,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
11,0.525,0.5,3.2324893474578857,spdsw,500,500,2473,1,12,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
12,0.975,0.5,2.5365664958953857,spdsw,500,500,2473,2,1,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
13,1.0,1.0,0.0,spdsw,500,500,2473,2,2,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
14,0.81,0.64,2.5551390647888184,spdsw,500,500,2473,2,3,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
15,0.825,0.82,2.5662429332733154,spdsw,500,500,2473,2,4,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
16,0.635,0.51,2.4151551723480225,spdsw,500,500,2473,2,5,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
17,0.575,0.5,2.4787843227386475,spdsw,500,500,2473,2,6,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
18,0.6,0.605,2.5566298961639404,spdsw,500,500,2473,2,7,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
19,0.495,0.52,2.6312191486358643,spdsw,500,500,2473,2,8,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
20,0.545,0.575,2.6003198623657227,spdsw,500,500,2473,2,9,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
21,0.56,0.565,2.595916509628296,spdsw,500,500,2473,2,10,False,1.0,bnci2015001,,,,256,"(1.0, 4.0)",True,0.5
